laptop_ID,Price_euros
750,1648.242
726,870.9147
633,969.1529
363,2712.2214
319,962.85065
14,602.52277
121,1117.3263
690,2133.718
360,1870.6565
1001,3247.6924
3,1841.5326
222,2131.8093
541,2761.9844
213,992.6936
57,885.6131
760,1841.5326
117,1378.899
655,1524.8676
514,1019.63336
961,2850.3875
1102,2131.8093
247,3562.5547
1275,759.59674
1224,1034.4016
860,717.3699
728,1374.3027
1319,1345.2014
284,3370.3733
242,1253.22
769,3247.6924
79,2486.215
513,1907.8113
983,1167.9901
1110,2147.1987
964,2309.4778
486,1353.0956
748,2358.405
886,1601.5083
578,1540.6536
706,1487.9778
790,2404.3105
22,3154.8643
322,694.4502
5,1209.8167
40,1912.3225
625,1673.4205
92,2823.1016
526,2347.953
1043,3103.486
1261,2061.0256
1094,1429.3636
286,913.59344
269,2713.8293
1166,1948.4362
47,673.3519
890,1066.1998
373,3144.573
973,1051.9764
1015,1353.0956
702,1521.2375
44,652.1523
359,1920.3884
848,2310.2278
652,810.5762
277,1912.3225
48,2583.8408
231,2124.4824
202,2285.8806
519,2850.3875
981,1420.5104
1006,745.4169
46,1255.0559
789,3171.4072
94,1450.1804
1250,1435.125
409,2079.2148
266,602.52277
18,1336.7201
816,1493.0718
1277,2732.433
1255,1164.0553
347,2806.1414
341,1642.4707
797,2285.8806
596,3710.435
469,2823.1016
1293,1386.7086
714,2082.253
146,1193.0378
265,3467.6711
549,1210.0089
574,1481.555
562,726.2051
984,1341.1305
1101,1945.9276
1146,1938.1516
926,1790.5792
366,803.4713
1214,912.8981
86,1257.8568
499,2358.405
355,3213.997
299,1912.3225
70,1716.5021
378,2285.8806
488,1274.1528
440,1362.1444
911,2886.7234
785,1400.4498
1155,1945.9276
965,1460.9286
1097,1183.9979
449,1353.0956
216,2270.912
1088,1298.4409
275,1216.8612
258,1682.6278
501,2371.3813
553,1336.3977
603,1303.2302
1202,1721.6606
968,2052.277
1114,2778.9956
835,1391.8693
889,1253.22
1074,1790.5792
150,946.1759
1209,1110.2876
1039,1179.4714
110,1469.3268
1216,799.0686
294,2850.3875
385,2823.1016
33,1707.8977
1129,1183.9979
413,1385.0142
9,1600.7212
1230,2835.8381
780,1470.0513
492,2047.5195
223,2167.9023
1256,2560.5837
568,1117.1847
844,1673.4205
493,1311.1925
1320,766.93835
229,2285.8806
215,2823.1016
430,2740.2185
624,1627.7046
240,1416.1178
1203,2572.489
572,1690.3542
32,904.5447
304,1566.0358
218,1909.86
249,1519.5347
796,1767.309
958,1481.4087
290,2536.429
200,2392.9507
1187,3165.05
1002,1467.3727
1245,1312.692
755,1843.9067
1096,2812.9685
315,1353.0956
191,2490.8074
567,1171.3121
232,1853.2795
712,849.0193
1280,1293.2092
614,1535.6552
743,1624.4154
207,1873.529
177,1109.5969
75,3460.7268
1009,1106.0735
605,1391.8693
507,813.8061
364,1478.5331
293,1662.5885
1007,2014.7495
664,1912.3225
1118,3404.179
497,2187.7607
995,1554.7589
379,996.6055
354,1041.6127
663,2679.9482
333,1897.4413
1091,1609.9077
1135,857.702
1113,949.749
941,2149.967
1174,2131.9841
16,1187.7113
641,922.42346
273,3367.9575
524,1339.2754
1109,1165.2544
343,1841.5326
91,1355.9426
204,1511.1205
30,3367.9575
239,2047.586
1072,1558.8062
185,1293.2118
550,2823.1016
352,911.97394
97,1580.2311
695,833.903
538,2679.9482
824,1460.9286
661,2430.4072
377,945.8028
