laptop_ID,Price_euros
750,1443.3329
726,377.23505
633,252.4924
363,826.51886
319,417.5667
14,480.75867
121,675.8478
690,1568.6179
360,1526.6259
1001,1335.5421
3,605.33856
222,1001.0769
541,1111.3142
213,642.97784
57,478.3024
760,1506.0073
117,1309.6973
655,2438.7412
514,673.39655
961,724.2881
1102,1299.7363
247,1053.6311
1275,534.66406
1224,683.54193
860,339.33176
728,2016.3247
1319,728.68896
284,731.08453
242,570.87775
769,1189.061
79,980.9993
513,1123.1605
983,640.97766
1110,996.5157
964,1874.4012
486,1284.0646
748,1168.2007
886,1339.094
578,427.55402
706,1523.5527
790,2264.598
22,1000.49
322,287.2788
5,1922.6844
40,886.91425
625,2087.4106
92,1090.4141
526,1674.6404
1043,966.19885
1261,1866.5463
1094,845.58435
286,491.41122
269,694.40314
1166,1222.0778
47,428.3934
890,979.8726
373,996.45105
973,469.6786
1015,982.0992
702,1181.2876
44,750.7847
359,2116.5884
848,847.9933
652,421.9986
277,917.5301
48,1247.5077
231,941.75977
202,1764.1819
519,674.09717
981,739.0261
1006,352.48914
46,1366.5924
789,2934.8513
94,1427.5312
1250,464.89355
409,1139.0942
266,455.98715
18,2549.268
816,486.07745
1277,1318.6276
1255,717.4062
347,880.6209
341,1696.5737
797,2214.904
596,1078.787
469,647.64453
1293,747.86487
714,1005.3789
146,643.51984
265,1044.4347
549,1259.67
574,595.11743
562,284.31332
984,2256.1863
1101,927.55444
1146,2695.7434
926,1139.7968
366,390.52597
1214,368.75095
86,400.22766
499,1257.3225
355,747.5322
299,862.8888
70,575.33466
378,1586.8942
488,548.9104
440,2149.2065
911,1108.8031
785,2371.8472
1155,1376.8352
965,1560.1082
1097,418.682
449,1640.15
216,1745.9008
1088,1254.2135
275,1986.0671
258,1491.9459
501,1594.9795
553,1222.6333
603,1964.8917
1202,710.3283
968,1638.9064
1114,1854.6322
835,1224.8763
889,748.0871
1074,1128.0131
150,308.71588
1209,564.37427
1039,1029.3744
110,1052.0237
1216,330.99323
294,693.5633
385,758.7884
33,631.46674
1129,347.31683
413,1586.1716
9,1319.3608
1230,1929.894
780,1514.331
492,1046.042
223,1389.531
1256,1318.6276
568,556.1101
844,2357.3345
493,2052.8552
1320,350.9964
229,2296.8362
215,758.7884
430,541.75977
624,1519.5435
240,836.5734
1203,1377.0598
572,1347.2966
32,270.87448
304,1731.6715
218,611.51807
249,1411.2487
796,704.67816
958,1641.2751
290,761.13257
200,5622.861
1187,1041.2218
1002,870.2547
1245,536.5658
755,768.72284
1096,2752.0955
315,1008.7832
191,735.25916
567,456.24683
232,933.8959
712,366.38303
1280,462.52567
614,570.2251
743,730.8353
207,1810.2352
177,612.85803
75,1093.725
1009,1037.4261
605,1920.2786
507,354.3527
364,617.827
293,1156.6622
1007,1297.3672
664,872.9907
1118,1974.5835
497,957.4646
