laptop_ID,Price_euros
750,1103.7190631376834
726,438.1864676061054
633,251.69633850676573
363,883.6803181880751
319,475.00000000000006
14,438.1864676061054
121,438.1864676061054
690,1139.312253919449
360,1434.2170766386528
1001,1285.0941290078847
3,1103.7190631376834
222,1103.7190631376834
541,1014.0622270740731
213,1125.3541842460093
57,438.1864676061054
760,1103.7190631376834
117,1540.7533840184255
655,2311.4733313548545
514,776.0000000000002
961,675.5692799664603
1102,1103.7190631376834
247,1103.7190631376834
1275,438.1864676061054
1224,1125.3541842460093
860,418.9999999999999
728,1540.7533840184255
1319,764.0000000000001
284,518.9999999999999
242,546.2417799081758
769,1285.0941290078847
79,1103.7190631376834
513,1103.7190631376834
983,629.8302392809925
1110,1103.7190631376834
964,2135.000000000001
486,1103.7190631376834
748,1103.7190631376834
886,1285.0941290078847
578,388.99999999999983
706,1636.8492012104107
790,2860.4429644029865
22,1014.0622270740731
322,294.12111531020736
5,1540.7533840184255
40,1103.7190631376834
625,2216.9899310660294
92,1285.0941290078847
526,1864.8025305685449
1043,1103.7190631376834
1261,1548.9999999999998
1094,629.8302392809925
286,438.1864676061054
269,678.8733937655024
1166,1103.7190631376834
47,438.1864676061054
890,978.9999999999999
373,1014.0622270740731
973,475.00000000000006
1015,1103.7190631376834
702,1103.7190631376834
44,776.4953316021932
359,1855.413174304621
848,1103.7190631376834
652,438.1864676061054
277,882.3275441123022
48,1285.0941290078847
231,989.9900000000002
202,1864.8025305685449
519,794.6340237663806
981,674.1570725797787
1006,418.9999999999999
46,1540.7533840184255
789,1864.8025305685449
94,1636.8492012104107
1250,459.00000000000006
409,882.3275441123022
266,438.1864676061054
18,2840.678655686527
816,699.7357843653414
1277,1285.0941290078847
1255,629.8302392809925
347,902.6790154633837
341,1103.7190631376834
797,1864.8025305685449
596,1014.0622270740731
469,794.6340237663806
1293,1045.0634299828287
714,1014.0622270740731
146,629.8302392809925
265,882.3275441123022
549,1540.7533840184255
574,699.7357843653414
562,294.12111531020736
984,2058.515505611221
1101,1285.0941290078847
1146,2135.000000000001
926,1103.7190631376834
366,438.1864676061054
1214,438.1864676061054
86,449.7721628153442
499,1285.0941290078847
355,883.6803181880751
299,1103.7190631376834
70,629.8302392809925
378,1548.9999999999998
488,449.7721628153442
440,2311.4733313548545
911,1103.7190631376834
785,2311.4733313548545
1155,1285.0941290078847
965,1540.7533840184255
1097,438.1864676061054
449,1540.7533840184255
216,1864.8025305685449
1088,1103.7190631376834
275,1540.7533840184255
258,1540.7533840184255
501,1864.8025305685449
553,997.0485042499388
603,1540.7533840184255
1202,799.0
968,1285.0941290078847
1114,1864.8025305685449
835,1045.0634299828287
889,629.8302392809925
1074,1103.7190631376834
150,294.12111531020736
1209,438.1864676061054
1039,1244.0
110,1045.0634299828287
1216,329.9290089516239
294,675.5692799664603
385,675.5692799664603
33,398.6222835349261
1129,438.1864676061054
413,2058.515505611221
9,2311.4733313548545
